iter	Passed	Remaining
0	68	340581
1	82	206312
2	98	163678
3	113	142292
4	129	129342
5	144	120315
6	159	114039
7	174	109023
8	190	105400
9	205	102696
10	221	100638
11	238	99314
12	254	97679
13	269	96009
14	284	94518
15	298	93090
16	312	91529
17	327	90561
18	342	89709
19	356	88697
20	369	87600
21	382	86480
22	396	85773
23	410	85039
24	423	84233
25	437	83674
26	450	82888
27	463	82246
28	477	81909
29	491	81453
30	505	81057
31	519	80604
32	532	80221
33	546	79849
34	561	79691
35	575	79381
36	589	79048
37	602	78728
38	615	78250
39	628	77928
40	641	77603
41	656	77483
42	670	77298
43	684	77087
44	698	76872
45	713	76802
46	727	76628
47	740	76365
48	755	76343
49	768	76118
50	781	75832
51	793	75542
52	807	75368
53	821	75206
54	834	75001
55	848	74868
56	861	74696
57	874	74552
58	887	74344
59	901	74234
60	916	74177
61	931	74186
62	945	74061
63	959	74006
64	972	73866
65	986	73771
66	1000	73659
67	1015	73677
68	1029	73592
69	1043	73502
70	1057	73390
71	1071	73336
72	1087	73400
73	1104	73536
74	1119	73545
75	1135	73547
76	1150	73538
77	1166	73597
78	1181	73581
79	1198	73713
80	1215	73823
81	1231	73835
82	1246	73869
83	1259	73718
84	1383	80000
85	1417	80994
86	1433	80934
87	1448	80850
88	1461	80664
89	1476	80566
90	1492	80524
91	1507	80447
92	1521	80288
93	1534	80090
94	1548	79969
95	1561	79777
96	1576	79682
97	1590	79577
98	1605	79463
99	1618	79325
100	1634	79280
101	1649	79191
102	1665	79188
103	1679	79048
104	1694	78979
105	1708	78885
106	1722	78771
107	1735	78603
108	1749	78518
109	1764	78436
110	1777	78305
111	1791	78182
112	1805	78103
113	1820	78037
114	1836	78022
115	1852	77992
116	1866	77884
117	1881	77833
118	1894	77725
119	1909	77667
120	1925	77644
121	1940	77605
122	1954	77489
123	1970	77489
124	1985	77446
125	2000	77370
126	2016	77372
127	2031	77326
128	2046	77285
129	2063	77317
130	2080	77325
131	2098	77402
132	2115	77429
133	2134	77508
134	2151	77548
135	2166	77494
136	2184	77525
137	2202	77588
138	2220	77649
139	2236	77643
140	2251	77595
141	2268	77613
142	2285	77614
143	2299	77546
144	2315	77523
145	2329	77448
146	2343	77371
147	2357	77301
148	2371	77202
149	2384	77106
150	2397	76990
151	2412	76958
152	2427	76900
153	2440	76799
154	2454	76738
155	2468	76635
156	2482	76567
157	2497	76532
158	2511	76455
159	2524	76371
160	2537	76278
161	2550	76171
162	2564	76095
163	2578	76034
164	2593	75984
165	2607	75933
166	2622	75902
167	2637	75856
168	2650	75776
169	2665	75737
170	2680	75703
171	2695	75665
172	2710	75614
173	2724	75572
174	2737	75485
175	2751	75411
176	2764	75333
177	2777	75232
178	2791	75183
179	2805	75122
180	2819	75063
181	2833	75016
182	2846	74930
183	2861	74888
184	2877	74890
185	2889	74782
186	2903	74724
187	2917	74672
188	2930	74592
189	2944	74543
190	2958	74476
191	2974	74475
192	2987	74413
193	3001	74353
194	3015	74306
195	3029	74257
196	3042	74169
197	3055	74097
198	3069	74043
199	3085	74057
200	3098	73983
201	3112	73921
202	3124	73845
203	3140	73828
204	3155	73810
205	3169	73751
206	3182	73700
207	3198	73691
208	3211	73611
209	3224	73547
210	3237	73479
211	3251	73443
212	3266	73401
213	3280	73359
214	3294	73327
215	3307	73254
216	3342	73663
217	3359	73702
218	3374	73676
219	3388	73631
220	3402	73583
221	3418	73565
222	3431	73507
223	3446	73479
224	3459	73428
225	3474	73402
226	3488	73340
227	3502	73314
228	3515	73248
229	3530	73216
230	3545	73200
231	3559	73160
232	3573	73103
233	3588	73092
234	3601	73034
235	3615	72993
236	3629	72946
237	3644	72913
238	3658	72878
239	3672	72842
240	3686	72788
241	3699	72743
242	3715	72744
243	3730	72710
244	3744	72665
245	3757	72620
246	3771	72580
247	3785	72536
248	3799	72488
249	3813	72461
250	3828	72431
251	3844	72442
252	3857	72374
253	3872	72350
254	3889	72374
255	3907	72401
256	3923	72402
257	3937	72369
258	3951	72331
259	3965	72286
260	3979	72248
261	3991	72188
262	4007	72183
263	4023	72174
264	4037	72146
265	4053	72134
266	4068	72117
267	4083	72099
268	4096	72038
269	4109	71998
270	4124	71967
271	4137	71924
272	4152	71908
273	4168	71906
274	4184	71903
275	4201	71904
276	4215	71870
277	4230	71849
278	4244	71821
279	4257	71776
280	4272	71755
281	4287	71730
282	4300	71684
283	4314	71648
284	4328	71611
285	4342	71577
286	4356	71544
287	4371	71514
288	4384	71479
289	4399	71453
290	4413	71414
291	4428	71399
292	4442	71367
293	4456	71338
294	4469	71290
295	4483	71258
296	4500	71262
297	4513	71210
298	4526	71172
299	4541	71154
300	4555	71120
301	4570	71106
302	4585	71081
303	4599	71049
304	4613	71015
305	4628	70997
306	4641	70960
307	4655	70922
308	4668	70870
309	4680	70818
310	4693	70770
311	4709	70756
312	4723	70731
313	4737	70693
314	4751	70670
315	4766	70651
316	4779	70610
317	4795	70598
318	4807	70548
319	4820	70499
320	4833	70460
321	4846	70407
322	4860	70375
323	4873	70335
324	4889	70331
325	4905	70334
326	4918	70294
327	4933	70269
328	4947	70236
329	4961	70219
330	4974	70171
331	4989	70148
332	5003	70117
333	5015	70073
334	5028	70017
335	5041	69976
336	5055	69955
337	5069	69922
338	5086	69930
339	5102	69939
340	5118	69929
341	5135	69945
342	5151	69943
343	5164	69906
344	5178	69867
345	5190	69818
346	5204	69786
347	5218	69764
348	5234	69752
349	5247	69720
350	5262	69700
351	5278	69706
352	5292	69669
353	5305	69632
354	5318	69588
355	5332	69560
356	5346	69530
357	5357	69472
358	5371	69438
359	5385	69415
360	5398	69374
361	5411	69330
362	5424	69291
363	5439	69273
364	5453	69253
365	5469	69248
366	5483	69217
367	5497	69191
368	5512	69176
369	5525	69142
370	5539	69113
